time,x_pos,x_dot,theta,theta_dot,input_u
7.22,0.026338108658334494,-0.07103732656670025,-0.01871850734922303,0.04823789639627299,-1.1104304152652669
7.24,0.024719386000548092,-0.09005127663814812,-0.01726750033186901,0.09465443713333722,-0.8684154870220862
7.26,0.02276602364071904,-0.10457139810823365,-0.01501485541515454,0.1286904938307565,-0.6473521058264275
7.28,0.020563606402898355,-0.11503056447357614,-0.01219106187454987,0.15204661782326157,-0.44854991135052474
7.3,0.018188894238700945,-0.12187577214570953,-0.008993385095522407,0.16634005152899553,-0.2724890116830899
7.32,0.015709686304703707,-0.1255540015754764,-0.005587780522581245,0.17308130763676058,-0.11897965143697167
7.34,0.013184938004356868,-0.12650100595818603,-0.0021111986802781015,0.1736582832794857,0.012694342663921292
7.36,0.010665075681919163,-0.12513270313942879,0.0013258577004615585,0.1693267480982091,0.12364858636707907
7.38,0.008192460140981829,-0.12183884805643465,0.004636640975396262,0.16120612528140862,0.21528741477829838
7.4,0.00580195653001684,-0.11697867252462743,0.007755426099770196,0.1502795754231441,0.2892088300703406
7.42,0.003521574255751913,-0.11087819456806466,0.010634815319840901,0.13739748990668046,0.3471242648478028
7.44,0.0013731463502284736,-0.10382891918378677,0.013243140127624396,0.12328359978758273,0.3907921105119925
7.46,-0.0006269769426484583,-0.09608767503743966,0.015562005672722647,0.10854300482727808,0.4219638313917068
7.48,-0.002467240726684997,-0.08787735593831683,0.017584009881972347,0.09367152305523731,0.442341413116466
7.5,-0.004140220152307608,-0.07938836106273148,0.019310658464155025,0.07906585221879404,0.45354486786701537
7.5200000000000005,-0.00564198937900023,-0.07078055299405168,0.02075048766442901,0.06503411940895384,0.4570885307741564
7.54,-0.006971533552859775,-0.06218557709906101,0.021917398950951947,0.05180647314590404,0.4543649227958013
7.5600000000000005,-0.008130209656694774,-0.05370940908274877,0.022829203619904898,0.03954544274375276,0.4466350187573221
7.58,-0.009121259648040765,-0.04543501940452814,0.023506370442859217,0.02835585262148044,0.43502383868027517
7.6000000000000005,-0.00994937598043029,-0.037423552345832334,0.02397096185501375,0.018289603896802727,0.4467555093317389
7.62,-0.010470792369209836,-0.013860453574669685,0.023796866652808252,-0.03829650735925345,1.1830398205934924
7.640000000000001,-0.010536508187741522,0.006508751841959758,0.02253437622580607,-0.0857363223302182,0.9422541975911033
7.66,-0.01024029280048167,0.02240151128719926,0.02045029207006998,-0.12074287255475276,0.7220187643265144
7.68,-0.009667453871249178,0.03424389013381764,0.017776255380729866,-0.1450076891506612,0.5237181490982377
7.7,-0.008894596433543739,0.04247744136654245,0.014710829198289031,-0.16014236493526468,0.34789915272393945
7.72,-0.007989461310709753,0.04754490335837101,0.01142135058583986,-0.1676545765831224,0.19443046955760657
7.74,-0.007011019735311729,0.04987882906707494,0.008046184580234076,-0.168931686419795,0.06264638254397527
7.76,-0.006009768744741001,0.049892825491853116,0.0046972400176085284,-0.16523076639412948,-0.04852586233155564
7.78,-0.005028178359359357,0.047975083100472556,0.0014626297231108531,-0.15767396498415803,-0.14045482535486373
7.8,-0.004101247879338782,0.0444838836825406,-0.0015906217377487195,-0.1472482269479173,-0.21470923992909427
7.82,-0.00325713472816868,0.03974478985383721,-0.004413900695453819,-0.13480847142148702,-0.272977151585887
7.84,-0.002517825020676975,0.03404923861077488,-0.006974418441041067,-0.121083432155472,-0.3169988032241388
7.86,-0.0018998203675527363,0.02765428351849388,-0.009252762817483686,-0.10668346163722889,-0.3485121074135544
7.88,-0.0014148202987277966,0.020783254129446958,-0.011240620429977841,-0.09210969607481174,-0.36920947012067445
7.9,-0.0010703840681309232,0.013627126088814086,-0.012938691422297147,-0.07776406888968188,-0.3807047006521953
7.92,-0.0008705594836499073,0.006346420288302663,-0.014354809377788717,-0.06395974514241887,-0.38450875098990567
7.94,-0.0008164697943205667,-0.0009265262550590241,-0.015502271143694483,-0.05093162728743907,-0.38201306594462814
7.96,-0.0009068525787378251,-0.00808505188285799,-0.016398375104100502,-0.038846653267760045,-0.37447938653348795
7.98,-0.0011385470398439272,-0.015045536434282684,-0.017063161489856222,-0.027813670966753783,-0.3630349264457779
8.0,-0.00150692945096066,-0.02174624523698758,-0.017518340617476945,-0.017888197921113787,-0.37490706865884676
